SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","","All Districts","","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","262830","134516","128314","580","10889","108603","23334","174","112512","6738","1487","18451","20138","20261","19806","20378","19863","20031","20392","20874","21572","21143","19542","19052","169560","32484","34333"
"20 - 21 School Year","82","Wayne RESA","82921","Academy for Business and Technology","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","539","283","256","2","0","447","60","0","17","13","0","33","40","43","46","41","53","29","43","39","45","54","41","32","501","83","45"
"20 - 21 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","136","130","6","1","0","86","7","0","39","3","0","0","0","0","0","0","0","0","5","14","20","47","24","26","136","33","<10"
"20 - 21 School Year","82","Wayne RESA","82717","Achieve Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Rural: Fringe","Wayne Region","         3","792","383","409","0","419","119","23","1","187","43","0","89","91","92","87","89","86","86","85","87","0","0","0","0","158","52","148"
"20 - 21 School Year","82","Wayne RESA","63914","Advanced Technology Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Small","Wayne Region","         3","1260","615","645","1","1","937","260","4","53","4","24","79","85","88","99","86","76","98","99","106","132","113","101","98","1151","100","217"
"20 - 21 School Year","82","Wayne RESA","82020","Allen Park Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","3742","1923","1819","15","24","96","564","3","2938","102","0","278","251","241","250","260","287","285","290","314","297","307","333","333","1298","445","108"
"20 - 21 School Year","82","Wayne RESA","82730","American International Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","660","343","317","0","2","638","2","2","5","11","0","61","60","70","52","55","53","53","47","48","53","55","31","22","632","75","<10"
"20 - 21 School Year","82","Wayne RESA","82981","American Montessori Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","480","255","225","4","11","278","17","0","125","45","0","74","67","60","48","53","56","42","40","40","0","0","0","0","300","39","12"
"20 - 21 School Year","82","Wayne RESA","82933","Barack Obama Leadership Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","248","129","119","0","0","247","0","0","1","0","0","39","37","50","32","48","42","0","0","0","0","0","0","0","241","18","<10"
"20 - 21 School Year","82","Wayne RESA","82705","Branch Line School","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Small","Wayne Region","         3","129","69","60","0","0","26","7","1","95","0","0","12","12","17","12","16","16","18","15","11","0","0","0","0","47","25","<10"
"20 - 21 School Year","82","Wayne RESA","82983","Bridge Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","1015","452","563","0","130","22","1","0","862","0","0","103","100","81","85","82","80","102","114","118","13","39","63","35","1015","37","685"
"20 - 21 School Year","82","Wayne RESA","82745","Caniff Liberty Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","475","231","244","1","165","92","0","0","217","0","0","42","49","59","55","56","57","55","52","50","0","0","0","0","474","26","272"
"20 - 21 School Year","82","Wayne RESA","82968","Canton Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Rural: Fringe","Wayne Region","         3","744","377","367","1","327","132","35","3","192","54","0","90","89","88","87","87","86","75","74","68","0","0","0","0","185","52","190"
"20 - 21 School Year","82","Wayne RESA","82711","Canton Preparatory High School","","All Buildings","82","Wayne","PSA District","Middle_High School","Suburb: Large","Wayne Region","         3","417","208","209","0","52","152","37","1","158","17","76","0","0","0","0","0","0","0","0","0","138","137","75","67","161","41","34"
"20 - 21 School Year","82","Wayne RESA","82752","Capstone Academy Charter School (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","159","94","65","2","0","111","7","2","36","1","0","0","0","0","0","0","0","7","8","15","36","43","27","23","159","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82918","Cesar Chavez Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","2208","1107","1101","3","0","65","2056","0","78","6","0","139","132","149","148","131","149","208","221","217","193","188","169","164","2166","309","1398"
"20 - 21 School Year","82","Wayne RESA","82923","Chandler Park Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2128","1034","1094","1","0","2123","1","0","1","2","0","73","152","131","153","149","151","169","191","214","218","224","158","145","1873","100","<10"
"20 - 21 School Year","82","Wayne RESA","82996","Clara B. Ford Academy (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","92","0","92","0","0","48","5","0","32","7","0","0","0","0","0","0","0","0","7","14","16","22","22","11","92","37","<10"
"20 - 21 School Year","82","Wayne RESA","82919","Commonwealth Community Development Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","164","80","84","0","0","164","0","0","0","0","0","13","20","23","18","24","15","19","20","12","0","0","0","0","149","14","<10"
"20 - 21 School Year","82","Wayne RESA","82741","Cornerstone Health and Technology School","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","414","199","215","3","0","409","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","126","150","138","414","60","<10"
"20 - 21 School Year","82","Wayne RESA","82760","Cornerstone Jefferson-Douglass Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","591","280","311","3","1","584","2","0","1","0","0","54","79","86","66","63","90","50","52","51","0","0","0","0","571","49","<10"
"20 - 21 School Year","82","Wayne RESA","82991","Covenant House Academy Detroit","","All Buildings","82","Wayne","PSA District","High School","City: Large","Wayne Region","         3","537","279","258","4","0","447","66","0","17","3","0","0","0","0","0","0","0","0","0","0","196","134","105","102","489","94","19"
"20 - 21 School Year","82","Wayne RESA","82969","Creative Montessori Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","818","408","410","1","25","231","154","0","362","45","0","128","120","94","109","91","74","83","68","51","0","0","0","0","451","104","89"
"20 - 21 School Year","82","Wayne RESA","82230","Crestwood School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","3967","2106","1861","5","25","210","80","0","3617","30","0","294","239","277","280","291","301","267","303","315","321","340","360","367","2893","328","923"
"20 - 21 School Year","82","Wayne RESA","82947","David Ellis Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","223","102","121","0","0","223","0","0","0","0","0","11","22","27","31","33","31","22","21","25","0","0","0","0","186","17","<10"
"20 - 21 School Year","82","Wayne RESA","82994","David Ellis Academy West","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","658","336","322","0","0","649","5","0","3","1","0","60","72","72","75","69","67","93","78","72","0","0","0","0","507","50","<10"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Small","Wayne Region","         3","20439","10688","9751","23","242","548","357","12","19208","49","754","1407","1420","1400","1382","1512","1492","1547","1652","1690","2024","1700","1476","1632","14376","1731","9432"
"20 - 21 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2436","1229","1207","25","10","510","339","1","1466","85","0","225","165","170","169","190","193","173","197","210","198","202","153","186","1906","310","318"
"20 - 21 School Year","82","Wayne RESA","82929","Detroit Academy of Arts and Sciences","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","923","452","471","0","0","919","0","0","0","4","0","60","105","88","111","118","121","100","105","115","0","0","0","0","906","71","<10"
"20 - 21 School Year","82","Wayne RESA","82700","Detroit Achievement Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","479","232","247","1","7","361","9","1","83","17","0","90","70","76","60","63","50","26","22","22","0","0","0","0","365","50","<10"
"20 - 21 School Year","82","Wayne RESA","82925","Detroit Community Schools","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","614","328","286","1","1","612","0","0","0","0","0","12","24","28","42","38","45","40","46","47","60","81","81","70","612","54","<10"
"20 - 21 School Year","82","Wayne RESA","82945","Detroit Edison Public School Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","1285","650","635","1","0","1259","9","0","6","10","0","85","94","83","97","95","96","109","122","93","120","90","110","91","873","51","<10"
"20 - 21 School Year","82","Wayne RESA","82979","Detroit Enterprise Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","773","402","371","0","2","738","7","0","4","22","0","94","86","83","84","86","96","90","79","75","0","0","0","0","734","75","<10"
"20 - 21 School Year","82","Wayne RESA","82739","Detroit Innovation Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","346","165","181","1","0","345","0","0","0","0","0","27","34","45","38","35","45","43","44","34","0","0","0","0","309","37","<10"
"20 - 21 School Year","82","Wayne RESA","82722","Detroit Leadership Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","733","408","325","0","0","679","38","0","9","7","0","56","52","43","52","52","50","44","36","40","46","85","88","89","729","92","<10"
"20 - 21 School Year","82","Wayne RESA","82974","Detroit Merit Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","746","369","377","1","0","702","15","0","4","24","0","85","101","82","82","83","85","89","77","62","0","0","0","0","677","59","<10"
"20 - 21 School Year","82","Wayne RESA","82985","Detroit Premier Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","754","370","384","3","5","688","18","0","8","32","0","93","98","96","91","82","77","84","73","60","0","0","0","0","728","56","15"
"20 - 21 School Year","82","Wayne RESA","82704","Detroit Public Safety Academy","","All Buildings","82","Wayne","PSA District","High School","City: Large","Wayne Region","         3","196","97","99","0","0","193","0","0","1","2","0","0","0","0","0","0","0","4","3","11","43","39","41","55","194","41","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","49001","24776","24225","75","727","40012","6788","36","1219","144","0","3145","3933","4186","3962","4068","3872","3552","3345","3462","4058","3964","3418","3378","40620","7141","5600"
"20 - 21 School Year","82","Wayne RESA","82953","Detroit Service Learning Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","1311","664","647","0","1","1309","0","0","1","0","0","121","155","158","154","150","133","152","140","148","0","0","0","0","1308","117","<10"
"20 - 21 School Year","82","Wayne RESA","82763","Distinctive College Prep.","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","691","354","337","1","0","682","1","0","5","2","0","78","120","111","126","109","88","58","0","0","0","0","0","0","658","58","<10"
"20 - 21 School Year","82","Wayne RESA","82930","Dove Academy of Detroit","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","466","241","225","0","0","464","2","0","0","0","0","63","68","59","69","48","43","38","44","34","0","0","0","0","376","66","<10"
"20 - 21 School Year","82","Wayne RESA","82250","Ecorse Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","1190","649","541","1","3","952","105","0","121","8","0","94","94","90","63","84","83","84","72","68","96","120","126","116","1041","124","85"
"20 - 21 School Year","82","Wayne RESA","82744","Escuela Avancemos","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","348","193","155","2","0","9","325","0","12","0","0","37","49","47","49","46","41","42","37","0","0","0","0","0","346","29","321"
"20 - 21 School Year","82","Wayne RESA","82997","Flagship Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","725","354","371","0","0","689","3","1","1","31","0","84","93","82","83","88","83","87","68","57","0","0","0","0","705","59","<10"
"20 - 21 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","1833","900","933","2","15","92","127","0","1526","71","0","148","103","132","122","120","122","145","140","157","154","148","173","169","777","280","23"
"20 - 21 School Year","82","Wayne RESA","82772","Fostering Leadership Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Not Specified","Wayne Region","         3","22","20","2","0","0","1","1","10","9","1","0","0","0","0","0","0","0","4","12","6","0","0","0","0","18","16","<10"
"20 - 21 School Year","82","Wayne RESA","82987","Frontier International Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","873","417","456","1","306","90","2","0","474","0","0","58","57","60","54","38","51","11","0","0","165","138","120","121","870","43","538"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","3391","1768","1623","17","37","410","201","4","2588","134","0","228","221","216","202","211","225","224","249","253","272","320","301","356","1931","665","102"
"20 - 21 School Year","82","Wayne RESA","82937","George Crockett Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","391","207","184","0","0","391","0","0","0","0","0","26","46","48","50","49","45","41","38","48","0","0","0","0","391","59","<10"
"20 - 21 School Year","82","Wayne RESA","82963","George Washington Carver Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","505","245","260","0","0","501","0","0","3","1","0","60","79","70","62","48","64","42","40","40","0","0","0","0","504","44","<10"
"20 - 21 School Year","82","Wayne RESA","82290","Gibraltar School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","3583","1841","1742","4","64","229","270","6","2852","158","0","247","234","254","238","289","246","248","287","274","327","351","316","244","1041","549","72"
"20 - 21 School Year","82","Wayne RESA","82725","Global Heights Academy","","All Buildings","82","Wayne","PSA District","Elementary","Suburb: Large","Wayne Region","         3","234","104","130","0","0","184","7","0","37","6","0","32","41","38","44","40","39","0","0","0","0","0","0","0","234","28","27"
"20 - 21 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","1712","863","849","3","48","11","98","0","1509","43","0","131","97","106","139","130","140","139","130","112","160","139","156","133","182","184","18"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","6945","3614","3331","20","128","1109","244","1","5121","322","0","527","438","417","453","452","435","477","524","526","602","631","652","665","1328","940","67"
"20 - 21 School Year","82","Wayne RESA","82977","Hamtramck Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","542","254","288","1","400","51","3","0","79","8","0","53","62","62","59","63","62","62","60","59","0","0","0","0","521","27","302"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","3297","1884","1413","1","956","383","5","0","1914","38","0","200","224","256","233","260","239","245","210","254","289","368","266","253","2929","187","2103"
"20 - 21 School Year","82","Wayne RESA","82986","Hanley International Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","644","346","298","0","509","116","0","0","19","0","0","72","75","75","73","73","74","70","72","60","0","0","0","0","624","63","256"
"20 - 21 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2322","1224","1098","2","4","2139","23","0","141","13","0","97","134","118","95","104","106","107","139","158","309","335","380","237","1751","255","30"
"20 - 21 School Year","82","Wayne RESA","82926","Henry Ford Academy","","All Buildings","82","Wayne","PSA District","High School","City: Small","Wayne Region","         3","513","263","250","2","5","295","63","0","144","4","0","0","0","0","0","0","0","0","0","0","149","140","123","101","265","58","47"
"20 - 21 School Year","82","Wayne RESA","82749","Highland Park Public School Academy System","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","273","155","118","1","0","270","0","0","1","1","0","29","32","38","33","34","33","28","20","26","0","0","0","0","269","22","<10"
"20 - 21 School Year","82","Wayne RESA","82942","Hope Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","456","220","236","0","0","452","4","0","0","0","0","42","57","57","52","51","46","54","41","56","0","0","0","0","393","38","<10"
"20 - 21 School Year","82","Wayne RESA","82957","Hope of Detroit Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","1028","542","486","0","0","103","904","0","18","3","0","52","82","87","83","85","86","92","93","93","71","79","72","53","989","148","640"
"20 - 21 School Year","82","Wayne RESA","82340","Huron School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2480","1269","1211","8","23","53","142","1","2151","102","0","158","183","167","173","164","181","202","222","215","180","237","202","196","691","389","40"
"20 - 21 School Year","82","Wayne RESA","82762","Inkster Preparatory Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","208","108","100","0","0","180","9","0","4","15","0","31","40","37","37","34","22","7","0","0","0","0","0","0","184","11","<10"
"20 - 21 School Year","82","Wayne RESA","82767","Ivywood Classical Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","298","145","153","0","1","2","10","2","270","13","0","74","53","47","47","26","28","23","0","0","0","0","0","0","53","24","<10"
"20 - 21 School Year","82","Wayne RESA","82728","Jalen Rose Leadership Academy","","All Buildings","82","Wayne","PSA District","High School","City: Large","Wayne Region","         3","418","225","193","1","0","416","0","0","0","1","0","0","0","0","0","0","0","0","0","0","127","105","100","86","400","60","<10"
"20 - 21 School Year","82","Wayne RESA","82958","Joy Preparatory Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","215","107","108","1","0","212","2","0","0","0","0","41","28","30","27","27","20","14","12","16","0","0","0","0","215","36","<10"
"20 - 21 School Year","82","Wayne RESA","82976","Keystone Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","674","349","325","0","5","105","39","0","477","48","0","105","86","86","74","65","76","65","70","47","0","0","0","0","294","72","26"
"20 - 21 School Year","82","Wayne RESA","82723","Legacy Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","749","376","373","1","1","721","2","0","1","23","0","75","86","87","79","90","83","84","82","83","0","0","0","0","732","54","<10"
"20 - 21 School Year","82","Wayne RESA","82090","Lincoln Park, School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","4803","2563","2240","20","27","612","2081","7","1794","262","150","306","416","393","364","410","357","375","375","364","334","350","331","328","3844","803","837"
"20 - 21 School Year","82","Wayne RESA","82095","Livonia Public Schools School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Small","Wayne Region","         3","13547","6992","6555","35","580","1348","787","0","10188","609","0","969","941","965","987","969","965","916","1082","1061","1063","1046","1138","1131","4569","1785","575"
"20 - 21 School Year","82","Wayne RESA","82747","MacDowell Preparatory Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","361","179","182","0","0","359","1","0","1","0","0","31","41","36","46","45","36","28","44","54","0","0","0","0","350","32","<10"
"20 - 21 School Year","82","Wayne RESA","82742","Madison-Carver Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","627","300","327","4","2","620","0","0","1","0","0","50","85","85","69","74","82","70","61","51","0","0","0","0","627","53","<10"
"20 - 21 School Year","82","Wayne RESA","82910","Martin Luther King, Jr. Education Center Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","297","133","164","0","0","294","1","0","0","2","0","55","40","41","36","33","29","22","14","27","0","0","0","0","260","11","<10"
"20 - 21 School Year","82","Wayne RESA","82924","Marvin L. Winans Academy of Performing Arts","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","344","151","193","1","0","342","0","0","0","1","0","20","30","33","40","41","40","48","40","52","0","0","0","0","317","22","<10"
"20 - 21 School Year","82","Wayne RESA","82045","Melvindale-North Allen Park Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2985","1587","1398","5","22","213","695","0","2026","24","8","185","229","197","224","199","216","248","237","239","254","315","209","220","2446","305","1627"
"20 - 21 School Year","82","Wayne RESA","82967","Metro Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","714","356","358","0","3","573","16","0","45","77","0","91","86","73","70","86","80","91","70","67","0","0","0","0","527","56","18"
"20 - 21 School Year","82","Wayne RESA","82751","Michigan Educational Choice Center","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","251","130","121","0","2","241","3","0","0","5","0","24","32","23","30","29","30","24","27","32","0","0","0","0","251","22","<10"
"20 - 21 School Year","82","Wayne RESA","82713","New Paradigm College Prep","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","236","106","130","1","0","128","104","0","0","3","0","21","30","31","21","36","23","22","31","21","0","0","0","0","233","12","<10"
"20 - 21 School Year","82","Wayne RESA","82735","New Paradigm Glazer-Loving Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","296","149","147","0","0","287","1","2","0","6","0","32","40","42","41","38","31","30","27","15","0","0","0","0","283","30","<10"
"20 - 21 School Year","82","Wayne RESA","82758","New School High","","All Buildings","82","Wayne","PSA District","High School","Suburb: Large","Wayne Region","         3","53","30","23","0","0","6","1","0","46","0","0","0","0","0","0","0","0","0","0","0","8","15","11","19","11","16","<10"
"20 - 21 School Year","82","Wayne RESA","82390","Northville Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","7097","3584","3513","12","1516","218","306","6","4798","241","0","368","430","440","442","515","494","567","627","574","651","647","626","644","462","607","306"
"20 - 21 School Year","82","Wayne RESA","63912","Oakland International Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","807","409","398","0","106","44","5","0","651","1","0","46","59","54","46","55","55","54","48","53","78","97","78","84","801","43","568"
"20 - 21 School Year","82","Wayne RESA","82956","Old Redford Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","1246","609","637","0","0","1235","2","0","5","4","0","53","86","83","91","96","96","74","98","91","141","107","124","106","1010","120","<10"
"20 - 21 School Year","82","Wayne RESA","82737","Pathways Academy","","All Buildings","82","Wayne","PSA District","Middle_High School","City: Large","Wayne Region","         3","100","21","79","1","0","99","0","0","0","0","0","0","0","0","0","0","0","0","3","4","28","30","22","13","100","10","<10"
"20 - 21 School Year","82","Wayne RESA","82765","Pembroke Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","310","163","147","0","0","281","9","1","0","19","0","90","36","59","28","31","23","24","19","0","0","0","0","0","288","18","<10"
"20 - 21 School Year","82","Wayne RESA","82904","Plymouth Educational Center Charter School","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","491","250","241","0","0","491","0","0","0","0","0","51","41","53","71","49","57","49","45","75","0","0","0","0","436","40","<10"
"20 - 21 School Year","82","Wayne RESA","82743","Plymouth Scholars Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","803","415","388","3","378","90","23","2","270","37","0","114","89","91","90","90","90","89","80","70","0","0","0","0","143","62","106"
"20 - 21 School Year","82","Wayne RESA","82100","Plymouth-Canton Community Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","16650","8560","8090","43","2428","1662","769","17","10968","763","0","1036","984","1066","1074","1183","1135","1301","1238","1379","1517","1510","1549","1539","3126","1679","955"
"20 - 21 School Year","82","Wayne RESA","82718","Quest Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Small","Wayne Region","         3","788","401","387","2","8","326","112","0","258","82","0","99","90","84","83","84","86","90","89","83","0","0","0","0","635","85","45"
"20 - 21 School Year","82","Wayne RESA","82110","Redford Union Schools, District No. 1","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2097","1186","911","7","8","1385","119","0","434","144","55","97","113","109","131","139","124","156","150","186","224","277","144","230","1559","553","59"
"20 - 21 School Year","82","Wayne RESA","82727","Regent Park Scholars Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","736","357","379","0","0","711","9","0","3","13","0","100","93","91","82","82","83","83","68","54","0","0","0","0","720","65","<10"
"20 - 21 School Year","82","Wayne RESA","82916","River Heights Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","220","109","111","3","2","76","15","1","119","4","0","29","31","25","24","34","22","15","17","22","0","0","0","0","175","43","<10"
"20 - 21 School Year","82","Wayne RESA","82120","River Rouge, School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2383","1234","1149","4","2","1922","173","1","133","148","0","91","138","119","117","119","159","157","178","181","290","320","286","228","1990","325","110"
"20 - 21 School Year","82","Wayne RESA","82975","Riverside Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Small","Wayne Region","         3","906","477","429","0","0","94","12","0","799","1","0","57","63","74","58","72","64","75","74","74","82","73","77","63","905","48","528"
"20 - 21 School Year","82","Wayne RESA","82400","Riverview Community School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2894","1442","1452","10","37","185","255","1","2378","28","2","196","179","211","199","217","188","211","225","254","237","260","255","251","1121","285","78"
